game,move,white,black,san,uci,depth,score_cp,nodes,time_ms,link,cpl,is_white
3,28,Koshmarek,ArturBK,Nxe5,d7e5,18,407,1643443,1729,https://lichess.org/qOFgYcRm,391,False
3,29,Koshmarek,ArturBK,Bxe5,f4e5,18,407,3598510,3722,https://lichess.org/qOFgYcRm,0,True
3,30,Koshmarek,ArturBK,Qa7,b8a7,18,623,1335749,1061,https://lichess.org/qOFgYcRm,216,False
3,31,Koshmarek,ArturBK,Qg5,d2g5,18,238,953829,999,https://lichess.org/qOFgYcRm,385,True
3,32,Koshmarek,ArturBK,O-O,e8g8,18,245,1061181,1177,https://lichess.org/qOFgYcRm,7,False
3,33,Koshmarek,ArturBK,Ne4,c3e4,18,136,365477,323,https://lichess.org/qOFgYcRm,109,True
3,34,Koshmarek,ArturBK,Rxc1,c8c1,18,669,630175,477,https://lichess.org/qOFgYcRm,533,False
3,35,Koshmarek,ArturBK,Rxc1,f1c1,18,292,526757,560,https://lichess.org/qOFgYcRm,377,True
3,36,Koshmarek,ArturBK,Nxe4,f6e4,18,9999,818,1,https://lichess.org/qOFgYcRm,708,False
3,37,Koshmarek,ArturBK,Qxg7#,g5g7,0,10000,0,0,https://lichess.org/qOFgYcRm,0,True
4,1,ArturBK,Mwandu03,e4,e2e4,18,37,1074397,1364,https://lichess.org/IK3fv7jB,0,True
4,2,ArturBK,Mwandu03,e5,e7e5,18,35,912217,1140,https://lichess.org/IK3fv7jB,0,False
4,3,ArturBK,Mwandu03,Nc3,b1c3,18,16,748157,984,https://lichess.org/IK3fv7jB,19,True
4,4,ArturBK,Mwandu03,Bc5,f8c5,18,36,894587,1115,https://lichess.org/IK3fv7jB,20,False
4,5,ArturBK,Mwandu03,Nf3,g1f3,18,31,389652,502,https://lichess.org/IK3fv7jB,5,True
4,6,ArturBK,Mwandu03,d6,d7d6,18,63,998094,1295,https://lichess.org/IK3fv7jB,32,False
4,7,ArturBK,Mwandu03,d4,d2d4,18,14,1376000,1697,https://lichess.org/IK3fv7jB,49,True
4,8,ArturBK,Mwandu03,exd4,e5d4,18,68,910787,1111,https://lichess.org/IK3fv7jB,54,False
4,9,ArturBK,Mwandu03,Nxd4,f3d4,18,17,1725305,2112,https://lichess.org/IK3fv7jB,51,True
4,10,ArturBK,Mwandu03,c6,c7c6,18,209,936020,1152,https://lichess.org/IK3fv7jB,192,False
